department_id,course_id,course_no,descriptive_title,credits,year_level,semester
5,16,GE 1,Understanding the Self,3,1ST YEAR,1ST SEMESTER
5,16,GE 2,Readings in Philippine History,3,1ST YEAR,1ST SEMESTER
5,16,GE 3,The Contemporary World with IP Education,3,1ST YEAR,1ST SEMESTER
5,16,BIBLE 1,Understanding the Old Testament,3,1ST YEAR,1ST SEMESTER
5,16,CC 1,Introduction to Computing,3,1ST YEAR,1ST SEMESTER
5,16,CC 2,Computer Programming 1,3,1ST YEAR,1ST SEMESTER
5,16,PE 1,Physical Fitness,2,1ST YEAR,1ST SEMESTER
5,16,NSTP 1,National Service and Training Program 1,3,1ST YEAR,1ST SEMESTER
5,16,MATH 1,Pre-Calculus,3,1ST YEAR,1ST SEMESTER
5,16,CE 1,Cultural Enrichment 1,0,1ST YEAR,1ST SEMESTER
5,16,GE 4,Mathematics in the Modern World,3,1ST YEAR,2ND SEMESTER
5,16,GE 5,Purposive Communication ,3,1ST YEAR,2ND SEMESTER
5,16,GE 6,Art Appreciation,3,1ST YEAR,2ND SEMESTER
5,16,Bible 2,Understanding the New Testament,3,1ST YEAR,2ND SEMESTER
5,16,CC 3,Computer Programming 2,3,1ST YEAR,2ND SEMESTER
5,16,IT 1,Introduction to Human Computer Interaction,3,1ST YEAR,2ND SEMESTER
5,16,IT 2,Discrete Mathematics,3,1ST YEAR,2ND SEMESTER
5,16,PE 2,Individual and Dual Sports,2,1ST YEAR,2ND SEMESTER
5,16,NSTP 2,National Service and Training Program 2,3,1ST YEAR,2ND SEMESTER
5,16,CE 2,Cultural Enrichment 2,0,1ST YEAR,2ND SEMESTER
5,16,GE 7,"Science, Technology and  Society ",3,2ND YEAR,1ST SEMESTER
5,16,GE 8,Ethics with Peace Studies ,3,2ND YEAR,1ST SEMESTER
5,16,GE 9,Living in the IT Era,3,2ND YEAR,1ST SEMESTER
5,16,CC 4,Data  Structures and Algorithms ,3,2ND YEAR,1ST SEMESTER
5,16,CC 5,Information Management ,3,2ND YEAR,1ST SEMESTER
5,16,ITE 1,IT Elective 1,3,2ND YEAR,1ST SEMESTER
5,16,PT 1,IT Professional Track 1,3,2ND YEAR,1ST SEMESTER
5,16,PE 3,Rythmic Activities,2,2ND YEAR,1ST SEMESTER
5,16,CE 3,Cultural Enrichment 3,0,2ND YEAR,1ST SEMESTER
5,16,GE 10,Fundamentals of Accounting,3,2ND YEAR,2ND SEMESTER
5,16,GE 11,Gender and Society,3,2ND YEAR,2ND SEMESTER
5,16,GE 12,"Life, Works and Writings of Rizal",3,2ND YEAR,2ND SEMESTER
5,16,IT 4,Networking 1,3,2ND YEAR,2ND SEMESTER
5,16,IT 5,Integrative Programming and Technologies,3,2ND YEAR,2ND SEMESTER
5,16,ITE 2,IT Elective 2 ,3,2ND YEAR,2ND SEMESTER
5,16,PT 2,IT Professional Track 2,3,2ND YEAR,2ND SEMESTER
5,16,PE 4,Team Sports,2,2ND YEAR,2ND SEMESTER
5,16,CE 4,Cultural Enrichment 4,0,2ND YEAR,2ND SEMESTER
5,16,IT 3,Quantitative Methods (Incl. Modelling and Simulation),3,3RD YEAR,1ST SEMESTER
5,16,IT 6,Advance Database Systems,3,3RD YEAR,1ST SEMESTER
5,16,IT 7,Networking 2,3,3RD YEAR,1ST SEMESTER
5,16,IT 8,Systems Integration Architecture  ,3,3RD YEAR,1ST SEMESTER
5,16,ITE 3,IT Elective 3,3,3RD YEAR,1ST SEMESTER
5,16,PT 3,IT Professional Track 3,3,3RD YEAR,1ST SEMESTER
5,16,Prof.Ed. 1,Professional Enrichment 1,0,3RD YEAR,1ST SEMESTER
5,16,CC 6,Applications Development and Emerging Technologies,3,3RD YEAR,2ND SEMESTER
5,16,IT 9,Event Driven Programming,3,3RD YEAR,2ND SEMESTER
5,16,IT 10,Information Assurance and Security 1,3,3RD YEAR,2ND SEMESTER
5,16,IT 11,Social Issues and Professional Practice,3,3RD YEAR,2ND SEMESTER
5,16,ITE 4,IT Elective 4,3,3RD YEAR,2ND SEMESTER
5,16,PT 4,IT Professional Track 4,3,3RD YEAR,2ND SEMESTER
5,16,Prof.Ed. 2,Professional Enrichment 2,0,3RD YEAR,2ND SEMESTER
5,16,IT 12,Information Assurance and Security 2,3,3RD YEAR,SUMMER
5,16,IT 13,Capstone Project and Research I,3,3RD YEAR,SUMMER
5,16,IT 14,Systems Administration and Maintenance,3,4TH YEAR,1ST SEMESTER
5,16,IT 16,Capstone Project and Research 2,3,4TH YEAR,1ST SEMESTER
5,16,PT 5,IT Professional Track 5,3,4TH YEAR,1ST SEMESTER
5,16,Prof.Ed. 3,Professional Enrichment 3,0,4TH YEAR,1ST SEMESTER
5,16,IT 16,Practicum/OJT/Internship (486 Hours) ,3,4TH YEAR,2ND SEMESTER
5,16,PT 6,IT Professional Track 6,3,4TH YEAR,2ND SEMESTER
5,16,Prof.Ed. 4,Professional Enrichment 4,0,4TH YEAR,2ND SEMESTER
5,15,GE 1,Understanding the Self,3,1ST YEAR,1ST SEMESTER
5,15,GE 2,Readings in Philippine History,3,1ST YEAR,1ST SEMESTER
5,15,GE 3,The Contemporary World with IP Education,3,1ST YEAR,1ST SEMESTER
5,15,BIBLE 1,Understanding the Old Testament,3,1ST YEAR,1ST SEMESTER
5,15,CC 1,Introduction to Computing,3,1ST YEAR,1ST SEMESTER
5,15,CC 2,Computer Programming 1,3,1ST YEAR,1ST SEMESTER
5,15,PE 1,Physical Fitness,2,1ST YEAR,1ST SEMESTER
5,15,NSTP 1,National Service and Training Program 1,3,1ST YEAR,1ST SEMESTER
5,15,MATH 1,Pre-Calculus,3,1ST YEAR,1ST SEMESTER
5,15,CE 1,Cultural Enrichment 1,0,1ST YEAR,1ST SEMESTER
5,15,GE 4,Mathematics in the Modern World,3,1ST YEAR,2ND SEMESTER
5,15,GE 5,Purposive Communication ,3,1ST YEAR,2ND SEMESTER
5,15,GE 6,Art Appreciation,3,1ST YEAR,2ND SEMESTER
5,15,Bible 2,Understanding the New Testament,3,1ST YEAR,2ND SEMESTER
5,15,CC 3,Computer Programming 2,3,1ST YEAR,2ND SEMESTER
5,15,CS 1,Introduction to Human Computer Interaction,3,1ST YEAR,2ND SEMESTER
5,15,CS 2,Discrete Mathematics,3,1ST YEAR,2ND SEMESTER
5,15,PE 2,Individual and Dual Sports,2,1ST YEAR,2ND SEMESTER
5,15,NSTP 2,National Service and Training Program 2,3,1ST YEAR,2ND SEMESTER
5,15,CE 2,Cultural Enrichment 2,0,1ST YEAR,2ND SEMESTER
5,15,GE 7,"Science, Technology and  Society ",3,2ND YEAR,1ST SEMESTER
5,15,GE 8,Ethics with Peace Studies,3,2ND YEAR,1ST SEMESTER
5,15,GE 9,Living in the IT Era,3,2ND YEAR,1ST SEMESTER
5,15,CC 4,Data  Structures and Algorithms ,3,2ND YEAR,1ST SEMESTER
5,15,CC 5,Information Management,3,2ND YEAR,1ST SEMESTER
5,15,CSE 1,CS Elective 1,3,2ND YEAR,1ST SEMESTER
5,15,PT 1,CS Professional Track 1,3,2ND YEAR,1ST SEMESTER
5,15,PE 3,Rhythmic Activities,2,2ND YEAR,1ST SEMESTER
5,15,CE 3,Cultural Enrichment 3,0,2ND YEAR,1ST SEMESTER
5,15,GE 10,Fundamentals of Accounting,3,2ND YEAR,2ND SEMESTER
5,15,GE 11,Gender and Society,3,2ND YEAR,2ND SEMESTER
5,15,GE 12,"Life, Works and Writings of Rizal",3,2ND YEAR,2ND SEMESTER
5,15,CS 4,Networking 1,3,2ND YEAR,2ND SEMESTER
5,15,CS 5,Object Oriented Programming,3,2ND YEAR,2ND SEMESTER
5,15,CSE 2,CS Elective 2,3,2ND YEAR,2ND SEMESTER
5,15,PT 2,CS Professional Track 2,3,2ND YEAR,2ND SEMESTER
5,15,PE 4,Team Sports,2,2ND YEAR,2ND SEMESTER
5,15,CE 4,Cultural Enrichment 4,0,2ND YEAR,2ND SEMESTER
5,15,CS 7,Systems Integration Architecture,3,3RD YEAR,1ST SEMESTER
5,15,CS 8,Automata Theory and Formal Languages,3,3RD YEAR,1ST SEMESTER
5,15,CS 9,Architecture and Organization,3,3RD YEAR,1ST SEMESTER
5,15,CS 12,Software Engineering 1,3,3RD YEAR,1ST SEMESTER
5,15,CSE 3,CS Elective 3,3,3RD YEAR,1ST SEMESTER
5,15,PT 3,CS Professional Track 3,3,3RD YEAR,1ST SEMESTER
5,15,Prof.Ed. 1,Professional Enrichment 1,0,3RD YEAR,1ST SEMESTER
5,15,CC 6,Applications Development and Emerging Technologies,3,3RD YEAR,2ND SEMESTER
5,15,CS 10,Information Assurance and Security,3,3RD YEAR,2ND SEMESTER
5,15,CS 11,Social Issues and Professional Practice,3,3RD YEAR,2ND SEMESTER
5,15,CS 14,Software Engineering 2,3,3RD YEAR,2ND SEMESTER
5,15,CSE 4,CS Elective 4,3,3RD YEAR,2ND SEMESTER
5,15,PT 4,CS Professional Track 4,3,3RD YEAR,2ND SEMESTER
5,15,Prof.Ed. 2,Professional Enrichment 2,0,3RD YEAR,2ND SEMESTER
5,15,CS 13,CS Thesis Writing 1,3,3RD YEAR,SUMMER
5,15,CS 6,Programming Languages,3,3RD YEAR,SUMMER
5,15,CS 15,CS Thesis Writing 2,3,4TH YEAR,1ST SEMESTER
5,15,CS 17,Operating Systems,3,4TH YEAR,1ST SEMESTER
5,15,PT 5,CS Professional Track 5,3,4TH YEAR,1ST SEMESTER
5,15,Prof.Ed. 3,Professional Enrichment 3,0,4TH YEAR,1ST SEMESTER
5,15,CS 16,Practicum (162 Hours),3,4TH YEAR,2ND SEMESTER
5,15,PT 6,CS Professional Track 6 ,3,4TH YEAR,2ND SEMESTER
5,15,Prof.Ed. 4,Professional Enrichment 4,0,4TH YEAR,2ND SEMESTER
7,19,GE 1,Understading the Self,3,1ST YEAR,1ST SEMESTER
7,19,GE 2,Readings in the Philippine History,3,1ST YEAR,1ST SEMESTER
7,19,GE 9,Living in the IT Era,3,1ST YEAR,1ST SEMESTER
